0;0
0;0
0;0
0;0
4;0
5;3
6;11
7;42
8;139
9;308
10;437
11;618
12;775
13;899
14;1012
15;986
16;1184
17;1158
18;1244
19;1282
20;1318
21;1427
22;1466
23;1427
24;1308
25;1292
26;1256
27;1168
28;1039
29;956
30;825
31;768
32;790
33;664
34;610
35;570
36;465
37;424
38;428
39;350
40;349
41;307
42;300
43;299
44;240
45;211
46;222
47;216
48;218
49;184
50;177
51;172
52;157
53;156
54;136
55;176
56;193
57;210
58;186
59;176
60;172
61;197
62;169
63;187
64;204
65;199
66;211
67;215
68;261
69;289
70;321
71;273
72;253
73;294
74;250
75;227
76;260
77;231
78;258
79;271
80;244
81;262
82;307
83;261
84;287
85;309
86;355
87;328
88;365
89;432
90;469
91;533
92;548
93;486
94;478
95;545
96;495
97;524
98;521
99;565
100;517
101;557
102;547
103;633
104;568
105;627
106;696
107;598
108;615
109;735
110;689
111;692
112;700
113;710
114;686
115;746
116;669
117;751
118;660
119;752
120;711
121;746
122;747
123;733
124;644
125;586
126;558
127;552
128;523
129;484
130;434
131;472
132;494
133;505
134;505
135;525
136;512
137;491
138;546
139;475
140;540
141;545
142;532
143;572
144;518
145;537
146;569
147;563
148;554
149;580
150;568
151;563
152;536
153;551
154;600
155;603
156;577
157;661
158;651
159;660
160;679
161;648
162;689
163;656
164;643
165;594
166;598
167;571
168;596
169;513
170;586
171;536
172;576
173;609
174;602
175;585
176;640
177;662
178;634
179;597
180;633
181;675
182;589
183;619
184;628
185;679
186;702
187;660
188;726
189;800
190;725
191;730
192;764
193;788
194;813
195;758
196;756
197;785
198;806
199;808
200;724
201;797
202;731
203;771
204;775
205;802
206;854
207;947
208;1127
209;1217
210;1353
211;1439
212;1405
213;1539
214;1493
215;1500
216;1533
217;1516
218;1524
219;1525
220;1535
221;1478
222;1425
223;1440
224;1473
225;1387
226;1322
227;1340
228;1302
229;1332
230;1263
231;1269
232;1351
233;1381
234;1420
235;1338
236;1237
237;1031
238;873
239;711
240;631
241;569
242;484
243;409
244;354
245;354
246;338
247;323
248;295
249;310
250;330
251;388
252;596
253;1022
254;1213
255;385
